,trade_id,currency,entry_date,exit_date,days_held,ois_cc_entry,spread_cc_annual,funding_cc,swap5_cc_entry,fx_local_entry,fx_gbp_entry,fx_local_exit,fx_gbp_exit,borrowed_usd,equity_usd,borrowed_gbp,interest_gbp,repay_gbp,repay_usd,bond_entry_price_local,n_bonds,bond_exit_price_local,bond_accrued_local,bond_proceeds_local,bond_proceeds_usd,bond_pnl_usd,borrow_cost_usd,total_pnl_usd
85,86,RepTurkey,2011-08-24,2011-08-30,6,0.005437999999999999,0.005,0.010438,0.09281898232903607,1.779513,0.609579,1.737228,0.61354,8000000.0,2000000.0,4876632.0,836.8216777551621,4877468.821677756,7949716.109263872,100.0,177951.3,130.42090484135983,0.1598845368989412,23237021.224887338,13375919.122238034,3375919.1222380344,-50283.8907361282,3426203.0129741626
86,87,RepTurkey,2011-08-31,2011-09-06,6,0.00567,0.005,0.010669999999999999,0.09411898372461501,1.719548,0.614299,1.768338,0.625224,8000000.0,2000000.0,4914392.0,862.0464907982048,4915254.046490798,7861588.880930351,100.0,171954.8,131.17965493318107,0.1622309004229945,22584867.71014022,12771804.773827301,2771804.7738273013,-138411.1190696489,2910215.8928969502
87,88,RepTurkey,2011-09-07,2011-09-13,6,0.0054,0.005,0.0104,0.09637284624458263,1.757527,0.625407,1.776605,0.632924,8000000.0,2000000.0,5003256.0,855.4242818553845,5004111.424281855,7906338.556101293,100.0,175752.7,131.53859240047527,0.16630611681752344,23147491.517640207,13029059.086088471,3029059.086088471,-93661.4438987067,3122720.529987178
88,89,RepTurkey,2011-09-14,2011-09-20,6,0.005457999999999999,0.005,0.010457999999999999,0.09784567919436062,1.771672,0.633645,1.783376,0.636041,8000000.0,2000000.0,5069160.0,871.5260113799416,5070031.52601138,7971233.813561359,100.0,177167.2,132.12262089443897,0.16897411748338245,23437731.471796248,13142338.728230191,3142338.7282301914,-28766.18643864058,3171104.914668832
89,90,RepTurkey,2011-09-21,2011-09-27,6,0.005464,0.005,0.010464000000000001,0.09364804256596104,1.810894,0.641796,1.845717,0.639504,8000000.0,2000000.0,5134368.0,883.2435246511535,5135251.243524651,8030053.359360772,100.0,181089.4,125.98858443038803,0.1613805496132518,22844421.468249444,12376990.333972892,2376990.333972892,30053.359360772185,2346936.9746121196
90,91,RepTurkey,2011-09-28,2011-10-04,6,0.005501000000000001,0.005,0.010501,0.08631734287151042,1.84726,0.640355,1.900114,0.648375,8000000.0,2000000.0,5122840.0,884.3767582450258,5123724.376758245,7902408.909594362,100.0,184726.0,123.42284246417532,0.1481954391054871,22826783.54772145,12013375.801515829,2013375.8015158288,-97591.09040563833,2110966.891921467
91,92,RepTurkey,2011-10-05,2011-10-11,6,0.005294,0.005,0.010294000000000001,0.08053827344196511,1.872989,0.647181,1.842726,0.640498,8000000.0,2000000.0,5177448.0,876.1834405642278,5178324.183440564,8084840.520096182,100.0,187298.9,122.1882228236546,0.13786903446008167,22911542.446323834,12433504.735008804,2433504.735008804,84840.52009618189,2348664.2149126222
92,93,RepTurkey,2011-10-12,2011-10-18,6,0.005385,0.005,0.010385,0.07680358488673454,1.827769,0.635004,1.86769,0.63674,8000000.0,2000000.0,5080032.0,867.2981200659178,5080899.298120066,7979550.991173895,100.0,182776.9,122.06202812578782,0.13122733255542912,22334104.433584057,11958143.178784518,1958143.1787845176,-20449.008826104924,1978592.1876106225
93,94,RepTurkey,2011-10-19,2011-10-25,6,0.005297,0.005,0.010297,0.07857600047273262,1.856507,0.633295,1.789239,0.62506,8000000.0,2000000.0,5066360.0,857.6338244908318,5067217.633824491,8106769.964202623,100.0,185650.7,121.61684396901491,0.13437627158230434,22603199.26352104,12632856.350393124,2632856.350393124,106769.96420262288,2526086.386190501
94,95,RepTurkey,2011-10-26,2011-11-01,6,0.005306999999999999,0.005,0.010307,0.08367201452936121,1.764277,0.626844,1.797016,0.627363,8000000.0,2000000.0,5014752.0,849.7221005459174,5015601.722100546,7994736.256522214,100.0,176427.7,126.48028590904958,0.14346119314251765,22339936.466621418,12431684.78556753,2431684.7855675295,-5263.74347778596,2436948.5290453155
